Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear,WorkingDays
2007-01-01,0.406358288,1.203179144,1.203179144,1.203179144,1.203179144,1.203179144,-0.25,2.211127004
2007-04-01,-0.406358288,-2.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2007-07-01,-1,-1,-2,-1,-1,-2,0,-1
2007-10-01,2,0,1,0,1,1,0,1.5
2008-01-01,-1.593641712,-1.796820856,-0.796820856,-0.796820856,-0.796820856,-0.796820856,0.75,-3.788872996
2008-04-01,2.593641712,1.796820856,1.796820856,0.796820856,1.796820856,1.796820856,0,4.288872996
2008-07-01,-1,1,0,0,-1,0,0,-1
2008-10-01,0,-1,1,-1,0,-1,0,1.5
2009-01-01,0.406358288,0.203179144,-0.796820856,-0.796820856,0.203179144,0.203179144,-0.25,-1.288872996
2009-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-2.203179144,-0.203179144,0,-2.711127004
2009-07-01,0,-1,1,0,0,-1,0,2.5
2009-10-01,1,1,0,2,0,1,0,1.5
2010-01-01,0.406358288,0.203179144,0.203179144,-0.796820856,-0.796820856,0.203179144,-0.25,-1.288872996
2010-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-2.203179144,0,4.288872996
2010-07-01,1,1,0,2,1,1,0,2.5
2010-10-01,-1,0,0,-1,1,-1,0,1.5
2011-01-01,0.406358288,0.203179144,0.203179144,0.203179144,-0.796820856,-0.796820856,-0.25,2.211127004
2011-04-01,1.593641712,1.796820856,1.796820856,1.796820856,1.796820856,1.796820856,0,4.288872996
2011-07-01,-1,0,0,-1,1,0,0,-1
2011-10-01,1,0,1,1,0,2,0,-2
2012-01-01,1.406358288,1.203179144,1.203179144,1.203179144,1.203179144,1.203179144,0.75,3.211127004
2012-04-01,-0.406358288,-2.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2012-07-01,-1,-1,-2,-1,-1,-2,0,-1
2012-10-01,2,0,1,0,1,1,0,1.5
2013-01-01,-0.593641712,-0.796820856,0.203179144,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
2013-04-01,-0.406358288,-0.203179144,-2.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2013-07-01,2,1,1,0,1,1,0,2.5
2013-10-01,-1,1,-1,0,-1,0,0,-2
2014-01-01,0.406358288,-0.796820856,-0.796820856,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
2014-04-01,-0.406358288,-0.203179144,-0.203179144,-2.203179144,-0.203179144,-0.203179144,0,-2.711127004
2014-07-01,-1,1,0,0,-1,0,0,-1
2014-10-01,0,-1,1,-1,0,-1,0,1.5
2015-01-01,0.406358288,0.203179144,-0.796820856,-0.796820856,0.203179144,0.203179144,-0.25,-1.288872996
2015-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-2.203179144,-0.203179144,0,-2.711127004
2015-07-01,0,-1,1,0,0,-1,0,2.5
2015-10-01,1,1,0,2,0,1,0,1.5
2016-01-01,-1.593641712,-0.796820856,-0.796820856,-0.796820856,-1.796820856,-0.796820856,0.75,-3.788872996
2016-04-01,3.593641712,2.796820856,2.796820856,2.796820856,2.796820856,2.796820856,0,7.788872996
2016-07-01,-1,0,0,-1,1,0,0,-1
2016-10-01,1,0,1,1,0,2,0,-2
2017-01-01,1.406358288,1.203179144,1.203179144,1.203179144,1.203179144,0.203179144,-0.25,5.711127004
2017-04-01,-2.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2017-07-01,0,-1,0,0,-1,1,0,-4.5
2017-10-01,-2,-1,-2,-1,-1,-2,0,-2
2018-01-01,0.406358288,1.203179144,1.203179144,1.203179144,1.203179144,1.203179144,-0.25,2.211127004
2018-04-01,-0.406358288,-2.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2018-07-01,-1,-1,-2,-1,-1,-2,0,-1
2018-10-01,2,0,1,0,1,1,0,1.5
2019-01-01,-0.593641712,-0.796820856,0.203179144,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
2019-04-01,-0.406358288,-0.203179144,-2.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2019-07-01,2,1,1,0,1,1,0,2.5
2019-10-01,-1,1,-1,0,-1,0,0,-2
2020-01-01,0.406358288,0.203179144,-0.796820856,0.203179144,0.203179144,0.203179144,0.75,-0.288872996
2020-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-2.203179144,-0.203179144,0,-2.711127004
2020-07-01,0,-1,1,0,0,-1,0,2.5
2020-10-01,1,1,0,2,0,1,0,1.5
2021-01-01,0.406358288,0.203179144,0.203179144,-0.796820856,-0.796820856,0.203179144,-0.25,-1.288872996
2021-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-2.203179144,0,4.288872996
2021-07-01,1,1,0,2,1,1,0,2.5
2021-10-01,-1,0,0,-1,1,-1,0,1.5
2022-01-01,0.406358288,0.203179144,0.203179144,0.203179144,-0.796820856,-0.796820856,-0.25,2.211127004
2022-04-01,1.593641712,1.796820856,1.796820856,1.796820856,1.796820856,1.796820856,0,4.288872996
2022-07-01,-1,0,0,-1,1,0,0,-1
2022-10-01,1,0,1,1,0,2,0,-2
2023-01-01,1.406358288,1.203179144,1.203179144,1.203179144,1.203179144,0.203179144,-0.25,5.711127004
2023-04-01,-2.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2023-07-01,0,-1,0,0,-1,1,0,-4.5
2023-10-01,-2,-1,-2,-1,-1,-2,0,-2
2024-01-01,-0.593641712,0.203179144,0.203179144,0.203179144,0.203179144,0.203179144,0.75,-0.288872996
2024-04-01,-0.406358288,-0.203179144,-2.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2024-07-01,2,1,1,0,1,1,0,2.5
2024-10-01,-1,1,-1,0,-1,0,0,-2
2025-01-01,0.406358288,-0.796820856,-0.796820856,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
2025-04-01,-0.406358288,-0.203179144,-0.203179144,-2.203179144,-0.203179144,-0.203179144,0,-2.711127004
2025-07-01,-1,1,0,0,-1,0,0,-1
2025-10-01,0,-1,1,-1,0,-1,0,1.5
2026-01-01,0.406358288,0.203179144,-0.796820856,-0.796820856,0.203179144,0.203179144,-0.25,-1.288872996
2026-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-2.203179144,-0.203179144,0,-2.711127004
2026-07-01,0,-1,1,0,0,-1,0,2.5
2026-10-01,1,1,0,2,0,1,0,1.5
2027-01-01,-1.593641712,-0.796820856,-0.796820856,-1.796820856,-1.796820856,-0.796820856,-0.25,-4.788872996
2027-04-01,1.593641712,0.796820856,0.796820856,0.796820856,0.796820856,-1.203179144,0,7.788872996
2027-07-01,1,1,0,2,1,1,0,2.5
2027-10-01,-1,0,0,-1,1,-1,0,1.5
2028-01-01,0.406358288,0.203179144,0.203179144,0.203179144,0.203179144,-0.796820856,0.75,3.211127004
2028-04-01,-2.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2028-07-01,0,-1,0,0,-1,1,0,-4.5
2028-10-01,-2,-1,-2,-1,-1,-2,0,-2
2029-01-01,0.406358288,1.203179144,1.203179144,1.203179144,1.203179144,1.203179144,-0.25,2.211127004
2029-04-01,-0.406358288,-2.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2029-07-01,-1,-1,-2,-1,-1,-2,0,-1
2029-10-01,2,0,1,0,1,1,0,1.5
2030-01-01,-0.593641712,-0.796820856,0.203179144,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
2030-04-01,-0.406358288,-0.203179144,-2.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2030-07-01,2,1,1,0,1,1,0,2.5
2030-10-01,-1,1,-1,0,-1,0,0,-2
2031-01-01,0.406358288,-0.796820856,-0.796820856,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
2031-04-01,-0.406358288,-0.203179144,-0.203179144,-2.203179144,-0.203179144,-0.203179144,0,-2.711127004
2031-07-01,-1,1,0,0,-1,0,0,-1
2031-10-01,0,-1,1,-1,0,-1,0,1.5
2032-01-01,-1.593641712,-0.796820856,-0.796820856,-1.796820856,-0.796820856,-0.796820856,0.75,-3.788872996
2032-04-01,1.593641712,0.796820856,0.796820856,0.796820856,0.796820856,-1.203179144,0,7.788872996
2032-07-01,1,1,0,2,1,1,0,2.5
2032-10-01,-1,0,0,-1,1,-1,0,1.5
2033-01-01,0.406358288,0.203179144,0.203179144,0.203179144,-0.796820856,-0.796820856,-0.25,2.211127004
2033-04-01,1.593641712,1.796820856,1.796820856,1.796820856,1.796820856,1.796820856,0,4.288872996
2033-07-01,-1,0,0,-1,1,0,0,-1
2033-10-01,1,0,1,1,0,2,0,-2
2034-01-01,1.406358288,1.203179144,1.203179144,1.203179144,1.203179144,0.203179144,-0.25,5.711127004
2034-04-01,-2.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2034-07-01,0,-1,0,0,-1,1,0,-4.5
2034-10-01,-2,-1,-2,-1,-1,-2,0,-2
2035-01-01,-1.593641712,0.203179144,0.203179144,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
2035-04-01,1.593641712,-1.203179144,0.796820856,0.796820856,0.796820856,0.796820856,0,0.788872996
2035-07-01,-1,-1,-2,-1,-1,-2,0,-1
2035-10-01,2,0,1,0,1,1,0,1.5
2036-01-01,0.406358288,-0.796820856,0.203179144,0.203179144,0.203179144,0.203179144,0.75,-0.288872996
2036-04-01,-0.406358288,-0.203179144,-0.203179144,-2.203179144,-0.203179144,-0.203179144,0,-2.711127004
2036-07-01,-1,1,0,0,-1,0,0,-1
2036-10-01,0,-1,1,-1,0,-1,0,1.5
2037-01-01,0.406358288,0.203179144,-0.796820856,-0.796820856,0.203179144,0.203179144,-0.25,-1.288872996
2037-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-2.203179144,-0.203179144,0,-2.711127004
2037-07-01,0,-1,1,0,0,-1,0,2.5
2037-10-01,1,1,0,2,0,1,0,1.5
2038-01-01,0.406358288,0.203179144,0.203179144,-0.796820856,-0.796820856,0.203179144,-0.25,-1.288872996
2038-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-2.203179144,0,4.288872996
2038-07-01,1,1,0,2,1,1,0,2.5
2038-10-01,-1,0,0,-1,1,-1,0,1.5
2039-01-01,0.406358288,0.203179144,0.203179144,0.203179144,-0.796820856,-0.796820856,-0.25,2.211127004
2039-04-01,1.593641712,1.796820856,1.796820856,1.796820856,1.796820856,1.796820856,0,4.288872996
2039-07-01,-1,0,0,-1,1,0,0,-1
2039-10-01,1,0,1,1,0,2,0,-2
2040-01-01,1.406358288,1.203179144,1.203179144,1.203179144,1.203179144,1.203179144,0.75,3.211127004
2040-04-01,-0.406358288,-2.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2040-07-01,-1,-1,-2,-1,-1,-2,0,-1
2040-10-01,2,0,1,0,1,1,0,1.5
2041-01-01,-0.593641712,-0.796820856,0.203179144,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
2041-04-01,-0.406358288,-0.203179144,-2.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2041-07-01,2,1,1,0,1,1,0,2.5
2041-10-01,-1,1,-1,0,-1,0,0,-2
2042-01-01,0.406358288,-0.796820856,-0.796820856,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
2042-04-01,-0.406358288,-0.203179144,-0.203179144,-2.203179144,-0.203179144,-0.203179144,0,-2.711127004
2042-07-01,-1,1,0,0,-1,0,0,-1
2042-10-01,0,-1,1,-1,0,-1,0,1.5
2043-01-01,-1.593641712,-0.796820856,-1.796820856,-1.796820856,-0.796820856,-0.796820856,-0.25,-4.788872996
