Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear,WorkingDays
1971-05-01,-0.822488671,-1.432026103,-1.432026103,-1.473589638,-1.432026103,-1.432026103,0,-3.01209136
1971-06-01,0.817651072,1.427188504,1.427188504,0.463914441,0.427188504,0.427188504,0,3.495159765
1971-07-01,0,0,0,1,1,1,0,-0.5
1971-08-01,0,0,-1,-1,-1,-1,0,-0.5
1971-09-01,0,0,1,1,0,0,0,2
1971-10-01,-1,-1,-1,-1,0,0,0,-4
1971-11-01,1,1,0,0,0,0,0,2
1971-12-01,1,1,2,2,2,0,0,8
1972-01-01,0,-1,-1,-1,-1,-1,0,-1.5
1972-02-01,0,1,0,0,0,0,0.75,1
1972-03-01,-0.288872996,-0.49205214,0.50794786,0.50794786,-0.187283424,-0.49205214,0,1.277817511
1972-04-01,-0.706289406,-0.503110261,-0.503110261,-0.498272663,0.192121022,0.496889739,0,-3.260885915
1972-05-01,-0.822488671,0.567973897,0.567973897,-0.473589638,-0.432026103,-0.432026103,0,0.48790864
1972-06-01,0.817651072,0.427188504,0.427188504,1.463914441,1.427188504,0.427188504,0,3.495159765
1972-07-01,0,-1,-1,-1,-1,0,0,-4
1972-08-01,0,1,1,1,0,0,0,3
1972-09-01,0,0,0,0,1,1,0,-1.5
1972-10-01,0,0,-1,-1,-1,-1,0,-0.5
1972-11-01,0,0,1,1,0,0,0,2
1972-12-01,-2,-2,-1,-1,0,0,0,-6
1973-01-01,0,1,1,0,0,0,0,2
1973-02-01,0,0,0,0,0,0,-0.25,0
1973-03-01,0.711127004,0.50794786,0.50794786,1.50794786,1.812716576,1.50794786,0,1.277817511
1973-04-01,-0.706289406,-1.503110261,-1.503110261,-1.498272663,-1.807878978,-1.503110261,0,-3.260885915
1973-05-01,1.177511329,0.567973897,1.567973897,1.526410362,0.567973897,0.567973897,0,3.98790864
1973-06-01,-1.182348928,-0.572811496,-0.572811496,-0.536085559,0.427188504,0.427188504,0,-3.504840235
1973-07-01,0,0,-1,-1,-1,-1,0,-0.5
1973-08-01,0,0,1,1,1,0,0,3
1973-09-01,-1,-1,-1,-1,-1,0,0,-5
1973-10-01,1,1,1,0,0,0,0,3
1973-11-01,0,0,0,1,1,0,0,2
1973-12-01,0,-2,-2,-1,-1,0,0,-6
1974-01-01,0,0,1,1,0,0,0,2
1974-02-01,0,0,0,0,0,0,-0.25,0
